model,storage_name,caution_empty,caution_notice,condition_unopened,price_unopened,time-scraped
iPhone12 Pro,iPhone12 Pro 128GB,,,未開封買取価格,"35,000円",2025-12-02 05:10:41.553803+00:00
iPhone12 Pro,iPhone12 Pro 256GB,,,未開封買取価格,"38,000円",2025-12-02 05:10:41.553889+00:00
iPhone12 Pro,iPhone12 Pro 512GB,,,未開封買取価格,"39,000円",2025-12-02 05:10:41.553973+00:00
iPhone12 Pro Max,iPhone12 Pro Max 128GB,,,未開封買取価格,"46,000円",2025-12-02 05:10:41.554160+00:00
iPhone12 Pro Max,iPhone12 Pro Max 256GB,,,未開封買取価格,"51,000円",2025-12-02 05:10:41.554247+00:00
iPhone12 Pro Max,iPhone12 Pro Max 512GB,,,未開封買取価格,"52,000円",2025-12-02 05:10:41.554331+00:00
iPhoneSE2,iPhoneSE2 64GB,,,未開封買取価格,"12,500円",2025-12-02 05:10:41.554522+00:00
iPhoneSE2,iPhoneSE2 128GB,,,未開封買取価格,"14,500円",2025-12-02 05:10:41.554605+00:00
iPhoneSE2,iPhoneSE2 256GB,,,未開封買取価格,"15,500円",2025-12-02 05:10:41.554686+00:00
iPhone11,iPhone11 64GB,,,未開封買取価格,"20,500円",2025-12-02 05:10:41.554868+00:00
iPhone11,iPhone11 128GB,,,未開封買取価格,"23,500円",2025-12-02 05:10:41.554952+00:00
iPhone11,iPhone11 256GB,,,未開封買取価格,"24,500円",2025-12-02 05:10:41.555033+00:00
iPhone11 Pro,iPhone11 Pro 64GB,,,未開封買取価格,"24,500円",2025-12-02 05:10:41.555215+00:00
iPhone11 Pro,iPhone11 Pro 256GB,,,未開封買取価格,"29,500円",2025-12-02 05:10:41.555297+00:00
iPhone11 Pro,iPhone11 Pro 512GB,,,未開封買取価格,"31,500円",2025-12-02 05:10:41.555379+00:00
iPhone11 Pro Max,iPhone11 Pro Max 64GB,,,未開封買取価格,"30,500円",2025-12-02 05:10:41.555562+00:00
iPhone11 Pro Max,iPhone11 Pro Max 256GB,,,未開封買取価格,"33,500円",2025-12-02 05:10:41.555644+00:00
iPhone11 Pro Max,iPhone11 Pro Max 512GB,,,未開封買取価格,"34,500円",2025-12-02 05:10:41.555744+00:00
iPhoneXR,iPhoneXR 64GB,,,未開封買取価格,"17,000円",2025-12-02 05:10:41.555926+00:00
iPhoneXR,iPhoneXR 128GB,,,未開封買取価格,"19,000円",2025-12-02 05:10:41.556013+00:00
iPhoneXR,iPhoneXR 256GB,,,未開封買取価格,"20,000円",2025-12-02 05:10:41.556096+00:00
iPhoneXs,iPhoneXs 64GB,,,未開封買取価格,"15,000円",2025-12-02 05:10:41.556279+00:00
iPhoneXs,iPhoneXs 256GB,,,未開封買取価格,"18,000円",2025-12-02 05:10:41.556363+00:00
iPhoneXs,iPhoneXs 512GB,,,未開封買取価格,"19,000円",2025-12-02 05:10:41.556445+00:00
iPhoneXs MAX,iPhoneXs MAX 64GB,,,未開封買取価格,"19,000円",2025-12-02 05:10:41.556633+00:00
iPhoneXs MAX,iPhoneXs MAX 256GB,,,未開封買取価格,"22,000円",2025-12-02 05:10:41.556715+00:00
iPhoneXs MAX,iPhoneXs MAX 512GB,,,未開封買取価格,"24,000円",2025-12-02 05:10:41.556799+00:00
iPhoneX,iPhoneX 64GB,,,未開封買取価格,"14,000円",2025-12-02 05:10:41.556958+00:00
iPhoneX,iPhoneX 256GB,,,未開封買取価格,"16,000円",2025-12-02 05:10:41.557041+00:00
iPhone8,iPhone8 64GB,,,未開封買取価格,"8,000円",2025-12-02 05:10:41.557224+00:00
iPhone8,iPhone8 128GB,,,未開封買取価格,"8,000円",2025-12-02 05:10:41.557305+00:00
iPhone8,iPhone8 256GB,,,未開封買取価格,"9,500円",2025-12-02 05:10:41.557389+00:00
iPhone8 Plus,iPhone8 Plus 64GB,,,未開封買取価格,"10,000円",2025-12-02 05:10:41.557570+00:00
iPhone8 Plus,iPhone8 Plus 128GB,,,未開封買取価格,"10,000円",2025-12-02 05:10:41.557654+00:00
iPhone8 Plus,iPhone8 Plus 256GB,,,未開封買取価格,"12,000円",2025-12-02 05:10:41.557737+00:00
iPhone7,iPhone7 32GB,,,未開封買取価格,"4,500円",2025-12-02 05:10:41.557930+00:00
iPhone7,iPhone7 128GB,,,未開封買取価格,"5,500円",2025-12-02 05:10:41.558019+00:00
iPhone7,iPhone7 256GB,,,未開封買取価格,"6,000円",2025-12-02 05:10:41.558100+00:00
iPhone7 Plus,iPhone7 Plus 32GB,,,未開封買取価格,"5,500円",2025-12-02 05:10:41.558282+00:00
iPhone7 Plus,iPhone7 Plus 128GB,,,未開封買取価格,"6,500円",2025-12-02 05:10:41.558364+00:00
iPhone7 Plus,iPhone7 Plus 256GB,,,未開封買取価格,"7,000円",2025-12-02 05:10:41.558445+00:00
