web-scraper-job-id,web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,jan,type,price,time-scraped
34964744,1760539291-1,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536447,iPhone 16 Pro Max 256GB デザートチタニウム,"¥182,000",2025-10-15 23:41:31
34964744,1760539291-2,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536423,iPhone 16 Pro Max 256GB  ブラックチタニウム,"¥182,000",2025-10-15 23:41:31
34964744,1760539291-3,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536454,iPhone 16 Pro Max 256GB ナチュラルチタニウム,"¥182,000",2025-10-15 23:41:31
34964744,1760539291-4,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536430,iPhone 16 Pro Max 256GB ホワイトチタニウム,"¥182,000",2025-10-15 23:41:31
34964744,1760539291-5,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536485,iPhone 16 Pro Max 512GB デザートチタニウム,"¥210,400",2025-10-15 23:41:31
34964744,1760539291-6,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536461,iPhone 16 Pro Max 512GB ブラックチタニウム,"¥210,400",2025-10-15 23:41:31
34964744,1760539291-7,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN:  4549995536492,iPhone 16 Pro Max 512GB ナチュラルチタニウム,"¥210,400",2025-10-15 23:41:31
34964744,1760539291-8,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536478,iPhone 16 Pro Max 512GB ホワイトチタニウム,"¥210,400",2025-10-15 23:41:31
34964744,1760539291-9,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536522,iPhone 16 Pro Max 1TB デザートチタニウム,"¥241,400",2025-10-15 23:41:31
34964744,1760539291-10,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536508,iPhone 16 Pro Max 1TB ブラックチタニウム,"¥241,400",2025-10-15 23:41:31
34964744,1760539291-11,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536539,iPhone 16 Pro Max 1TB ナチュラルチタニウム,"¥241,400",2025-10-15 23:41:31
34964744,1760539291-12,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro Max,https://kaitori-oku.jp/category.html?cat1=222&cat2=428,JAN: 4549995536515,iPhone 16 Pro Max 1TB ホワイトチタニウム,"¥241,400",2025-10-15 23:41:31
34964744,1760539294-13,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro,https://kaitori-oku.jp/category.html?cat1=222&cat2=429,JAN: 4549995533118,iPhone 16 Pro 1TB ホワイトチタニウム,"¥218,400",2025-10-15 23:41:34
34964744,1760539294-14,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro,https://kaitori-oku.jp/category.html?cat1=222&cat2=429,JAN: 4549995533217,iPhone 16 Pro 1TB ナチュラルチタニウム,"¥218,400",2025-10-15 23:41:34
34964744,1760539294-15,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro,https://kaitori-oku.jp/category.html?cat1=222&cat2=429,JAN: 4549995533064,iPhone 16 Pro 1TB  ブラックチタニウム,"¥218,400",2025-10-15 23:41:34
34964744,1760539294-16,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro,https://kaitori-oku.jp/category.html?cat1=222&cat2=429,JAN: 4549995533163,iPhone 16 Pro 1TB  デザートチタニウム,"¥218,400",2025-10-15 23:41:34
34964744,1760539294-17,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro,https://kaitori-oku.jp/category.html?cat1=222&cat2=429,JAN: 4549995532913,iPhone 16 Pro 512GB ホワイトチタニウム,"¥200,400",2025-10-15 23:41:34
34964744,1760539294-18,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro,https://kaitori-oku.jp/category.html?cat1=222&cat2=429,JAN: 4549995533019,iPhone 16 Pro 512GB ナチュラルチタニウム,"¥200,400",2025-10-15 23:41:34
34964744,1760539294-19,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro,https://kaitori-oku.jp/category.html?cat1=222&cat2=429,JAN: 4549995532869,iPhone 16 Pro 512GB ブラックチタニウム,"¥200,400",2025-10-15 23:41:34
34964744,1760539294-20,https://kaitori-oku.jp/category.html?cat1=222,iPhone16 Pro,https://kaitori-oku.jp/category.html?cat1=222&cat2=429,JAN: 4549995532968,iPhone 16 Pro 512GB  デザートチタニウム,"¥200,400",2025-10-15 23:41:34
