web-scraper-job-id,web-scraper-order,web-scraper-start-url,機種名,未開封,time-scraped
34964963,1760539904-31,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone Air 1TB ライトゴールド  （）
型番：MG2J4J/A 
JANコード：4549995647600","184,000円",2025-10-15 23:51:44
34964963,1760539904-32,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone Air 1TB クラウドホワイト  （）
型番：MG2H4J/A 
JANコード：4549995647594","184,000円",2025-10-15 23:51:44
34964963,1760539904-33,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone Air 1TB スペースブラック  （）
型番：MG2G4J/A 
JANコード：4549995647587","184,000円",2025-10-15 23:51:44
34964963,1760539904-34,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 256GB ラベンダー  （）
型番：MG6A4J/A 
JANコード：4549995649185","127,000円",2025-10-15 23:51:44
34964963,1760539904-35,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 256GB セージ  （）
型番：MG6C4J/A 
JANコード：4549995649192","127,000円",2025-10-15 23:51:44
34964963,1760539904-36,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 256GB ミストブルー  （）
型番：MG694J/A 
JANコード：4549995649178","128,000円",2025-10-15 23:51:44
34964963,1760539904-37,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 256GB ホワイト  （）
型番：MG684J/A 
JANコード：4549995649161","128,000円",2025-10-15 23:51:44
34964963,1760539904-38,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 256GB ブラック  （）
型番：MG674J/A 
JANコード：4549995649154","128,000円",2025-10-15 23:51:44
34964963,1760539904-39,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 512GB ラベンダー  （）
型番：MG6G4J/A 
JANコード：4549995649239","159,000円",2025-10-15 23:51:44
34964963,1760539904-40,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 512GB セージ  （）
型番：MG6H4J/A 
JANコード：4549995649246","159,000円",2025-10-15 23:51:44
34964963,1760539904-41,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 512GB ミストブルー  （）
型番：MG6F4J/A 
JANコード：4549995649222","159,000円",2025-10-15 23:51:44
34964963,1760539904-42,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 512GB ホワイト  （）
型番：MG6E4J/A 
JANコード：4549995649215","159,000円",2025-10-15 23:51:44
34964963,1760539904-43,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 17 512GB ブラック  （）
型番：MG6D4J/A 
JANコード：4549995649208","159,000円",2025-10-15 23:51:44
34964963,1760539904-44,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 128GB ウルトラマリン  （）
型番：MYDU3J/A 
JANコード：4549995539073","96,500円",2025-10-15 23:51:44
34964963,1760539904-45,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 128GB ティール  （）
型番：MYDV3J/A 
JANコード：4549995539080","96,500円",2025-10-15 23:51:44
34964963,1760539904-46,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 128GB ピンク  （）
型番：MYDT3J/A 
JANコード：4549995539066","96,500円",2025-10-15 23:51:44
34964963,1760539904-47,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 128GB ホワイト  （）
型番：MYDR3J/A 
JANコード：4549995539059","96,500円",2025-10-15 23:51:44
34964963,1760539904-48,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 128GB ブラック  （）
型番：MYDQ3J/A 
JANコード：4549995539042","96,500円",2025-10-15 23:51:44
34964963,1760539904-49,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 256GB ウルトラマリン  （）
型番：MYE03J/A 
JANコード：4549995539127","111,500円",2025-10-15 23:51:44
34964963,1760539904-50,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 256GB ティール  （）
型番：MYE13J/A 
JANコード：4549995539134","111,500円",2025-10-15 23:51:44
34964963,1760539904-51,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 256GB ピンク  （）
型番：MYDY3J/A 
JANコード：4549995539110","111,500円",2025-10-15 23:51:44
34964963,1760539904-52,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 256GB ホワイト  （）
型番：MYDX3J/A 
JANコード：4549995539103","111,500円",2025-10-15 23:51:44
34964963,1760539904-53,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 256GB ブラック  （）
型番：MYDW3J/A 
JANコード：4549995539097","111,500円",2025-10-15 23:51:44
34964963,1760539904-54,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 512GB ウルトラマリン  （）
型番：MYE53J/A 
JANコード：4549995539172","119,500円",2025-10-15 23:51:44
34964963,1760539904-55,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 512GB ティール  （）
型番：MYE63J/A 
JANコード：4549995539189","119,500円",2025-10-15 23:51:44
34964963,1760539904-56,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 512GB ピンク  （）
型番：MYE43J/A 
JANコード：4549995539165","119,500円",2025-10-15 23:51:44
34964963,1760539904-57,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 512GB ホワイト  （）
型番：MYE33J/A 
JANコード：4549995539158","119,500円",2025-10-15 23:51:44
34964963,1760539904-58,https://iphonekaitori.tokyo/series/iphone/market-price,"iPhone 16 512GB ブラック  （）
型番：MYE23J/A 
JANコード：4549995539141","119,500円",2025-10-15 23:51:44
